ticker,company_name,current_index,market_cap,rank,predicted_action
SNR.L,Senior,FTSE 250,1207127808.0,221.0,no change
ONT.L,Oxford Nanopore Technologies,FTSE 250,1204548480.0,222.0,no change
MTRO.L,Metro Bank,FTSE 250,1201785600.0,223.0,no change
FCSS.L,Fidelity China Special Situations,FTSE 250,1195139328.0,224.0,no change
GROW.L,Molten Ventures,FTSE 250,1185606656.0,225.0,no change
WIZZ.L,Wizz Air,FTSE 250,1117623040.0,226.0,no change
KNOS.L,Kainos,FTSE 250,1095301120.0,227.0,no change
HAS.L,Hays,FTSE 250,1091137664.0,228.0,no change
ZIG.L,Zigup,FTSE 250,1084460160.0,229.0,no change
TRST.L,Trustpilot,FTSE 250,1074498944.0,230.0,no change
SUPR.L,Supermarket Income REIT,FTSE 250,1064911424.0,231.0,no change
EDIN.L,Edinburgh Investment Trust,FTSE 250,1061945344.0,232.0,no change
MONY.L,MONY Group,FTSE 250,1060415424.0,233.0,no change
PTEC.L,Playtech,FTSE 250,1055822592.0,234.0,no change
AGT.L,AVI Global Trust,FTSE 250,1046250944.0,235.0,no change
SDP.L,Schroder AsiaPacific Fund,FTSE 250,1045032320.0,236.0,no change
ELM.L,Elementis,FTSE 250,1036507648.0,237.0,no change
SOI.L,Schroder Oriental Income Fund,FTSE 250,1015744000.0,238.0,no change
MRCH.L,Merchants Trust,FTSE 250,1000950848.0,239.0,no change
TFIF.L,Twentyfour Income Fund,FTSE 250,996844672.0,240.0,no change
SAGA.L,Saga,FTSE 250,994470848.0,241.0,no change
TRY.L,TR Property Investment Trust,FTSE 250,988516544.0,242.0,no change
IAD.L,Invesco Asia Dragon Trust,FTSE 250,985119872.0,243.0,no change
FGP.L,FirstGroup,FTSE 250,975045376.0,244.0,no change
VSVS.L,Vesuvius,FTSE 250,972483200.0,245.0,no change
BYIT.L,Bytes Technology Group,FTSE 250,958213888.0,246.0,no change
PETS.L,Pets at Home,FTSE 250,938314944.0,247.0,no change
MUT.L,Murray Income Trust,FTSE 250,937802496.0,248.0,no change
CORD.L,Cordiant Digital Infrastructure,FTSE 250,934513024.0,249.0,no change
SPI.L,Spire Healthcare,FTSE 250,934356224.0,250.0,no change
CWR.L,Ceres Power,FTSE 250,930911488.0,251.0,no change
USA.L,Baillie Gifford US Growth Trust,FTSE 250,911832320.0,252.0,no change
EWI.L,Edinburgh Worldwide Investment Trust,FTSE 250,899299136.0,253.0,no change
ICGT.L,ICG Enterprise Trust,FTSE 250,894744640.0,254.0,no change
CVSG.L,CVS Group,FTSE 250,890132800.0,255.0,no change
VEIL.L,Vietnam Enterprise Investments,FTSE 250,884757696.0,256.0,no change
TRN.L,Trainline,FTSE 250,877424064.0,257.0,no change
BCG.L,Baltic Classifieds,FTSE 250,874684096.0,258.0,no change
PPET.L,Patria Private Equity Trust,FTSE 250,873687424.0,259.0,no change
VTY.L,Vistry Group,FTSE 250,871094656.0,260.0,no change
RICA.L,Ruffer Investment Company,FTSE 250,870155328.0,261.0,no change
OCI.L,Oakley Capital Investments,FTSE 250,869465536.0,262.0,no change
GAMA.L,Gamma Communications,FTSE 250,868926400.0,263.0,no change
PHI.L,Pacific Horizon Investment Trust,FTSE 250,865009856.0,264.0,no change
JDW.L,Wetherspoons,FTSE 250,858528960.0,265.0,no change
DOCS.L,Dr. Martens,FTSE 250,842112832.0,266.0,no change
MOON.L,Moonpig,FTSE 250,840343872.0,267.0,no change
APN.L,Applied Nutrition,FTSE 250,835000000.0,268.0,no change
CGT.L,Capital Gearing Trust,FTSE 250,825231936.0,269.0,no change
ESCT.L,European Smaller Companies Trust,FTSE 250,819939712.0,270.0,no change
